Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 860
/home/xianlli/dataset/HSI/Houston/Houston_corrected.mat
img shape: (130, 130, 144)
img_patches_nonzero: (6104, 7, 7, 144)
x_patches shape: (6104, 7, 7, 144), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 0 ==> loss=316.3656
epoch 1 ==> loss=738.2379
epoch 2 ==> loss=187.17186
epoch 3 ==> loss=206.34546
epoch 4 ==> loss=359.69397
epoch 5 ==> loss=292.85892
epoch 6 ==> loss=154.67938
epoch 7 ==> loss=92.80862
epoch 8 ==> loss=121.371925
epoch 9 ==> loss=170.00745
epoch 10 ==> loss=175.66603
epoch 11 ==> loss=136.47873
epoch 12 ==> loss=89.5813
epoch 13 ==> loss=69.42872
epoch 14 ==> loss=80.860245
epoch 15 ==> loss=100.82022
epoch 16 ==> loss=105.00481
epoch 17 ==> loss=89.439575
epoch 18 ==> loss=68.07074
epoch 19 ==> loss=55.914894
epoch 20 ==> loss=56.651337
epoch 21 ==> loss=62.161015
epoch 22 ==> loss=62.866646
epoch 23 ==> loss=57.005596
epoch 24 ==> loss=49.40252
epoch 25 ==> loss=45.123158
epoch 26 ==> loss=45.48171
epoch 27 ==> loss=46.850056
epoch 28 ==> loss=44.523796
epoch 29 ==> loss=38.703148
epoch 30 ==> loss=33.181473
epoch 31 ==> loss=30.658173
epoch 32 ==> loss=30.865711
epoch 33 ==> loss=31.716599
epoch 34 ==> loss=31.213795
epoch 35 ==> loss=28.909147
epoch 36 ==> loss=25.91532
epoch 37 ==> loss=23.764553
epoch 38 ==> loss=23.189579
epoch 39 ==> loss=23.585571
epoch 40 ==> loss=23.659554
epoch 41 ==> loss=22.741482
epoch 42 ==> loss=21.28075
epoch 43 ==> loss=20.136435
epoch 44 ==> loss=19.739216
epoch 45 ==> loss=19.852543
epoch 46 ==> loss=19.92219
epoch 47 ==> loss=19.590855
epoch 48 ==> loss=18.926132
epoch 49 ==> loss=18.264883
epoch 50 ==> loss=17.880384
epoch 51 ==> loss=17.780432
epoch 52 ==> loss=17.753574
epoch 53 ==> loss=17.58604
epoch 54 ==> loss=17.235361
epoch 55 ==> loss=16.830284
epoch 56 ==> loss=16.527395
epoch 57 ==> loss=16.374645
epoch 58 ==> loss=16.28865
epoch 59 ==> loss=16.154785
epoch 60 ==> loss=15.928225
epoch 61 ==> loss=15.653398
epoch 62 ==> loss=15.410213
epoch 63 ==> loss=15.243044
epoch 64 ==> loss=15.132082
epoch 65 ==> loss=15.022741
epoch 66 ==> loss=14.87635
epoch 67 ==> loss=14.695289
epoch 68 ==> loss=14.512621
epoch 69 ==> loss=14.358269
epoch 70 ==> loss=14.23757
epoch 71 ==> loss=14.131396
epoch 72 ==> loss=14.016355
epoch 73 ==> loss=13.884486
epoch 74 ==> loss=13.745373
epoch 75 ==> loss=13.614858
epoch 76 ==> loss=13.501294
epoch 77 ==> loss=13.401078
epoch 78 ==> loss=13.303226
epoch 79 ==> loss=13.199489
epoch 80 ==> loss=13.08997
epoch 81 ==> loss=12.980333
epoch 82 ==> loss=12.87568
epoch 83 ==> loss=12.776941
epoch 84 ==> loss=12.680815
epoch 85 ==> loss=12.583655
epoch 86 ==> loss=12.484411
epoch 87 ==> loss=12.385011
epoch 88 ==> loss=12.288049
epoch 89 ==> loss=12.194779
epoch 90 ==> loss=12.104831
epoch 91 ==> loss=12.016257
epoch 92 ==> loss=11.927461
epoch 93 ==> loss=11.837735
epoch 94 ==> loss=11.748425
epoch 95 ==> loss=11.660251
epoch 96 ==> loss=11.573611
epoch 97 ==> loss=11.487903
epoch 98 ==> loss=11.402765
epoch 99 ==> loss=11.317946
epoch 100 ==> loss=11.233614
epoch 101 ==> loss=11.149911
epoch 102 ==> loss=11.066979
epoch 103 ==> loss=10.984558
epoch 104 ==> loss=10.90238
epoch 105 ==> loss=10.820111
epoch 106 ==> loss=10.738334
epoch 107 ==> loss=10.6573
epoch 108 ==> loss=10.577008
